"respondentID","exercise","healthy_feeling","healthy_meal","ideal_diet","ideal_diet_coded","life_rewarding","self_perception_weight"
"47","2","4","A meal that you have cooked yourself without a lot of grease or fat in it.  ","More of a home cooked meal that is not very greasy. Also includes more fruits and vegetables. ","5","4","3"
"48","1","8","good balance between meats, grains, fruits, vegetables, carbs, and dairy products ","To cut out the junk food and eat more meat and less pasta. Also eat more fruits and vegetables  ","7","9","2"
"49","1","2","one that is well balanced and consists on main food groups","One that consists of a lot of mean and also fruits and vegetables. Drink a lot of water as well.","7","3","1"
"50","2","9","lots of green and color.","I would eat more veggies with a equal balance of carbs and protein. More international flavors would be great.","2","9","1"
"51","1","8","Balance of veggies, white meat, fruits, and grains.","No artificial sugars, only natural foods.","4","8","3"
"52","1","8","Chicken ","Organic ","5","8","2"
"53","1","1","Low carbs and high protein ","One that maintains my goal weight. But also produces enough daily energy. ","3","5","2"
"54","2","5","Grilled, natural ingredients, and no carbonated beverages","Blend of instant gratification and healthy choices sourced sustainably","3","1","4"
"55","1","10","High protein and vegetables","Clean diet. High protein intake.","7","10","2"
"56","1","8","the different colors of the rain bow. protein, fruit, veggies","My ideal diet is to eat less fast food in a week. Also to add something healthy like salad  to every meal or to have a salad for a meal. ","5","8","3"
"57","1","1","Low protein and carbs and high in vegetables and fruits.","My ideal diet is to cut back on my meat intake and substitute it for other protein sources such as fish or tuna.","2","1","2"
"58","1","9","Chicken and broccoli ","Fruits and vegetables, wheat bread, peanut butter, protein bars, protein shakes ","2","10","2"
"59","2","4","Fruit, vegetables, and protien","Ideally my diet would be similar to what I eat now. If I wasn't on a college budget I could spend more money on nicer meat and vegetables which would make my meals a lot better.","6","1","3"
"60","1","7","Proper serving sizes of almost anything ","Less cheese than I eat. ","1","10","3"
"61","1","3","Half the plate fruit and vegetables. Other half grains and protein. Then a little dairy. ","The way I eat now I think is pretty good.","6","5","2"
"62","2","2","chicken, veggies, fruit, water ","My ideal diet would be to add more fruits and veggies. Also, to go to the gym more but school gets in the way. ","2","5","2"
"63","1","2","high protein, low fat, low carbs and sugar","High protein, low fat","7","1","2"
"64","1","8","high protein, fruit, veggies, low carbs and fat","My ideal diet is my diet. ","6","8","2"
"65","1","3","Meal prep'd foods with food from each section on the food pyramid. ","I want to eliminate all the junk food I ate. Besides that, I want to keep my diet the same. ","5","1","4"
"66","2","3","vegtables","No, diet","6","3","2"
"67","1","3","Milk for a drink, meat, a grain, vegetable, fruit for dinner","My ideal diet is my mom's home cooking. It's always healthy and organic. ","5","3","2"
"68","2","2","It has protein, vegetables and some carbs ","I would like to get more protein in me. I would also like to eat healthier more consistently rather than here and there. ","7","2","2"
"69","1","8","Balanced between protein, veggies, and carbs","My ideal diet is a diet that makes me feel good but also allows me to eat junk food once in a while. ","3","8","3"
"70","2","3","Well portioned meat, veggies, and fruits. Water instead of a sugary drink like pop. ","My ideal diet would be cutting out red meats and sticking to leaner meats like turkey or chicken. Also keeping refined carbs out of my diet would be ideal.","4","3","3"
"71","2","3","A vegetable, a protein, and a fruit","Healthy and light","1","2","3"
"72","1","5","A balanced meal with a protein, carbohydrate and a vegetable.","I would like to eat less carbohydrates, such as pasta and breads. I wish I knew how to incorporate healthier alternatives to the foods I eat.","3","2","4"
"73","2","3","salad","I would like to consume a lot more meat and protein. I want to consume more fruit.","7","2","3"
"74","1","1","Protein source, vegetables, fruits, whole grains","A balanced diet with each food group. Getting enough protein and carbohydrates.","3","2","3"
"75","2","8","nan","nan","8","10","3"
"76","1","6","grilled meat, fruit, vegetable, and some grains","Eating all fruits and vegetables. Staying away from all the unhealthy foods.","2","9","3"
"77","2","4","a plate that has a variety of colors not just one color","My idea diet would consist of eating more balanced diet consisting of fruits, vegetables, and meat.  I would like to not eat so much unhealthy junk food/desserts.","3","4","4"
"78","2","4","Meat and potatoes ","Meat carbs and candy ","7","5","3"
"79","1","8","good portions of fruit, protein, veggies and carbs","To eat moderations of every food group each day and no processed food","3","8","3"
"80","1","1","All food groups","Whatever makes me feel good. Doesnt cost a fortune. ","8","3","2"
"81","2","4","All of the food groups(carbs, veggies, fruits,etc)","More fruits and Veggies.  Less carbs","2","1","3"
"82","1","2","all elements of food pyramid","a colorful diet","3","2","4"
"83","1","8","lots of colors","A good breakfast. A healthy lunch and dinner.","2","7","3"
"84","1","4","Has fruits vegetables and or some type of meat ","Delicious but also very healthy for you. Low in carbs but does not delete carbs all together.","5","1","3"
"85","1","9","Mostly vegetables and plenty of lean protein and healthy fats to keep you full","Staying away from processed foods completely and incorporating more plant proteins opposed to meat proteins would be ideals.","5","9","2"
"86","3","7","Lots of Greens, meat and water","Healthy smoothies for breakfast, healthy sandwich for lunch. For dinner, something wholesome and also healthy. Then a light dessert.","5","7","3"
"87","2","3","Small portion of meat with majority fruits or vegetables ","More organic food. Want to try and add more seafood into my diet.  ","5","1","4"
"88","1","5","lots of variety and veggies","Eating healthy with lots of water and natural foods. ","2","4","4"
"89","1","7","High protein, high carbs , vegetables ","Same as current diet ","6","1","2"
"90","1","7","Healthy meal for me is a food rich in protein, fiber, some sort of carbohydrates","it would be a vegetarian diet without any red meat ","2","1","3"
"91","1","7","half a plate of protein, quarter of a plate of carbs and the other quarter fruits or veggies.","My ideal diet would be no processed food or fried food. Also, very low in excess carbs and high in protein.","4","8","4"
"92","2","5","Very colorful and smaller portions of the unhealthy food with larger portions of vegetables ","Ideally I would eat more fruits and vegetables in my diet along with some junk food. ","2","2","3"
"93","3","8","Chicken Salad with Pita Chips","A balance between meats and vegetables with less sugar","3","1","4"
"94","3","6","Fruits, vegetables, meat ","Alot of fruits and veggies. Meat and bread. Water, because hydration is important kids","2","6","3"
"95","1","7","steak or salmon with broccoli or asparagus and brown rice or quinoa","High protein with lots of vegetables and fruit","7","6","3"
"96","1","10","a balance of Meat and vegetables","I like the diet I have now.  I could eat 3 times a day but I feel healthy as is.","6","10","2"
"97","2","2","Modest proportions of many different food groups.","Variety of fruits, vegetables, and meats in healthy proportion.","2","8","6"
"98","1","1","It combines a protein with other elements of the diet such as vegetables and other items that support the body.","I want to aim to eat foods that are healthy and nutritious. Since I workout a lot, I want to eat foods that will replenish the nutrients my body needs in order to function. ","2","1","3"
"99","2","8","Well balanced with protein, fruits, vegetables, starch, etc.","My ideal diet would be one that is well balanced. It would include lots of fruits and vegetables.","3","1","4"
"100","2","3","lean meat, fresh fruits & veggies","ideal diet would be less sweets and carbohydrates. ","4","2","3"
"101","2","2","water, fruits, vegetables, protein, carbs","Although I don't eat junk food very often, i would love not to have those days where I eat a lot. ","4","1","2"
"102","3","3","More vegetables and fruits as opposed to meat and bread/potatoes","If at all possible, I would like to be able to eat a lot healthier. I would like to eat more fruits and vegetables with the hope of eventually going vegetarian.","2","3","5"
"103","1","7","A protein, veggies, and a carb","A very healthy diet, with the occasional splurging on junk foods. ","3","7","4"
"104","2","4","Salmon, sweet potato, and larger portion, but equally spread of broccoli, squash, zucchini, carrots, and tomatoes.","I would like my diet to fulfill all the colors of the rainbow, with mainly fruits and vegetables as the primary source of intake, and about one fourth intake of proteins, and little to no snacks per day.  ","2","8","6"
"105","1","9","Vegetables, white meat, and a starch like potatoes, water, and fruit for dessert ","A low car, low fat diet with no red meat and lots of plant-based things. I would like to cut red meat out entirely and also cut down on processed snack foods. ","2","3","5"
"106","2","2","I think a healthy meals includes some kind of protein, preferably meat, vegetables, and a starch such as potatoes or rice","My ideal diet right now would be how it was when I lived at home. I ate breakfast every morning, brought a lunch to school, and had a home cooked meal by my mom that included meat, vegetables and a starch. ","5","1","3"
"107","2","7","A healthy meal constitutes of balanced diet with fruits and veggies dominating the plate. ","My ideal diet would getting to eat small portioned meals in every 2-3 hours. ","1","6","4"
"108","1","5","To me a healthy meal is balanced and ","I would like to try to eat vegan. ","2","4","4"
"109","1","6","equal portions of carbs, proteins and fruits/veges","Small portions, healthy foods","1","5","3"
"110","3","5","Salad with chicken and vegetables with a raspberry vinaigrette ","Much more vegetables and lean protein","2","1","5"
"111","2","8","It includes a protein, vegetable, fruit, and grain. ","I hope to continue to eat healthy and cook more on my own. I want to incorporate more fruits and vegetables. ","2","9","3"
"112","2","9","low calories plenty of veggies","more healthy food such as vegetables than bad food such as burgers.","2","7","3"
"113","1","10","A pice of meat such as chicken with a side of vegetables and possibly a salad","I wouldn't want or crave any sweets or breads.I would be satisfied with protein and fruit and veggies. ","4","9","3"
"114","2","9","Blackened Chicken, broccoli, and milk","My ideal diet would be a healthy diet. I would eat meats and veggies. ","7","1","4"
"115","2","7","Meat, greens and food containing protein","Healthy and tasty","2","7","1"
"116","1","10","Intaking the proper amount of each food group","My ideal diet would be an equal balance of all the food groups. I would like to eat more protein. Also, i would prefer to cut back on the junk food.","3","10","2"
"117","2","5","BBQ Chicken with mash sweat potatoes and steam vegetable with corn and a glass of water.","Very healthy. Freshly done. properly cooked","5","2","4"
"118","3","9","Including both vegetable and meat","My ideal diet should include both vegetable and meat. It is not only healthy but also delicious. ","2","7","4"
"119","2","5","Chicken vegetables and fruit for dinner ","All home cooked. Healthy. Vegetables and fruit. ","5","8","4"
"120","2","7","A diet that is well balanced in most of the nutrients needed for the body.","Healthy balanced diet that tastes well.","3","6","4"
"121","2","5","mainly protein and vegetables with a complex carb ","My ideal diet would consist of a majority of what I consume now. I like to think I make pretty healthy choices currently, so it would most likely remain the same.","6","7","4"
"122","2","5","A healthy meal is a variety of food , organic food that gives you the nutrients such as protein , carbohydrates , fat , water , vitamins and minerals.","Eating home cooked meals everyday and being able to not eat processed foods at all.","5","7","4"
"123","2","6","lots of vegetables","lots of veggies","2","10","4"
"124","1","1","A protein, a fruit, a starch, and a salad or some sort of vegetable.","My ideal diet is the diet i am currently on.  The only thing i would change is a little bit less snack/junk food.","6","1","2"
"125","2","3","a cup of rice, vegetables, and meat. ","Being able to balance between sweets, vegetables, fruits, carbohydrates, and fat.","3","5","3"
